,BubbleSort,InsertionSort,SelectionSort,MergeSort,HeapSort
10,21,21,5,34,27
100,2370,2370,95,672,574
1000,241642,241642,983,9976,9066
10000,24705047,24705047,9899,133616,123247
100000,2472985561,2472985561,99055,1668928,1562383
