,BubbleSort,InsertionSort,SelectionSort,MergeSort,HeapSort
10,0.01478,0.01049,0.00882,0.02337,0.01669
100,0.50282,0.26274,0.283,0.14067,0.16069
1000,59.9637,30.01213,31.26335,3.04842,3.00431
10000,5937.73174,3400.77877,3182.67226,27.82702,39.69622
100000,540343.49489,218837.38971,224137.429,315.53388,467.38386
